,index,PitchId,BatterId,PitcherId,PitcherHand,BatterSide,PitchCall,PitchType,ReleaseSpeed,PlateX,TrajectoryLocationY,PlateZ,StrikeZoneTop,StrikeZoneBottom,Balls,Strikes,VerticalBreak,InducedVerticalBreak,HorzBreak,VertApproachAngle,HorzApproachAngle,LaunchSpeed,LaunchAngle,LaunchSpinAxis,LaunchDirection,LaunchSpinRate,LandingPositionX,LandingPositionY,LandingPositionZ,barrel,Outs_Generated,PitchResult,slg,inning_outs,Inning,Inning_Top_Bottom,At_Bat_Num
0,0,1,1,1,L,R,called_strike,CH,83.0,0.007897288072854,1.41666662693024,22.927046298980763,3.34029603004456,1.49000000953674,0,0,-2.95449709892273,3.960367083549504,-9.127263307571413,-7.63418626785278,1.08766257762909,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Top,1
1,1,2,1,1,L,R,ball,KC,79.0,-14.971868991851759,1.41666662693024,13.23889160156256,3.2248272895813,1.49000000953674,0,1,-4.32180118560791,-8.733884096145625,4.839304447174069,-9.79141521453857,3.90162897109985,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Top,1
2,2,3,1,1,L,R,field_out,SL,87.3,-3.2498320341110283,1.41666662693024,34.66379642486568,3.28500008583069,1.48699998855591,1,1,-2.42471408843994,6.148865461349485,0.3321094885468488,-5.72113752365112,2.53332018852234,82.43,30.82,204.933959960938,10.7870979309082,2263.12475585938,104.179557800293,295.970184326172,0.0304029006510973,Other,1,Out,0,1,1,Top,1
3,3,4,2,1,L,L,ball,SI,91.5,13.638619422912601,1.41666662693024,32.723587989807115,3.32499194145203,1.374680519104,0,0,-2.17580461502075,6.104174852371212,-14.00973272323608,-5.59422302246094,-0.382425099611282,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
4,4,5,2,1,L,L,swinging_strike,KC,80.2,-6.826854944229121,1.41666662693024,13.418942928314161,3.54900002479553,1.62699997425079,1,0,-4.00009489059448,-6.174773454666132,0.9857609868049619,-9.40711212158203,2.86195850372314,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
5,5,6,2,1,L,L,single,SI,90.9,8.830505132675173,1.41666662693024,27.611895561218276,3.54900002479553,1.62699997425079,1,1,-2.20668077468872,6.0031764507293754,-13.537755489349319,-6.0262303352356,0.089518316090107,104.83,5.19,298.274047851562,33.1879844665527,3698.5380859375,63.701732635498,89.854118347168,-0.0020116379018873,Other,0,Hit,1,1,1,Top,1
6,6,7,3,1,L,R,ball,CH,84.7,-6.300030469894404,1.41666662693024,9.30836606025696,3.34584641456604,1.5900000333786,0,0,-2.51268100738525,7.425084829330441,-10.515311479568485,-8.28062438964844,1.62621545791626,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
7,7,8,3,1,L,R,called_strike,CH,84.4,6.600222587585447,1.41666662693024,17.78760910034184,3.33316349983215,1.5900000333786,1,0,-2.73356080055237,5.260968446731572,-12.315832614898678,-7.79507541656494,0.35237729549408,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
8,8,9,3,1,L,R,ball,SL,86.1,18.92964792251592,1.41666662693024,28.761757850646962,3.34560561180115,1.5900000333786,1,1,-2.42685008049011,7.070570468902584,-0.9360805749893184,-6.08544445037842,0.83836567401886,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
9,10,11,3,1,L,R,ball,CH,84.7,7.436555385589596,1.41666662693024,10.79865145683288,3.24039340019226,1.5900000333786,2,1,-2.59954309463501,6.120620727539064,-11.548727989196772,-8.04839134216309,0.422507107257843,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Top,1
