,hc_x,hc_y
2076,110.15,151.91
2833,69.03,107.66
3477,106.08,95.96
4191,146.69,147.85
2317,70.57,134.04
2668,96.44,167.17
3305,158.26,52.51
3720,160.07,89.56
4032,153.13,119.52
3113,95.42,191.08
3347,187.42,104.47
3791,43.9,68.47
3954,142.47,143.74
1809,155.32,163.11
2621,48.21,79.6
3053,131.55,47.84
3529,92.95,65.61
3874,145.35,67.26
2758,148.22,147.85
1618,186.36,140.44
2074,141.06,72.03
2344,154.31,162.09
1607,109.07,146.17
1808,123.3,198.72
2189,194.35,115.49
2374,61.06,108.51
2503,130.45,181.42
3049,110.15,182.43
3506,206.77,93.87
3794,74.59,103.8
3837,147.77,79.2
2848,139.08,142.25
3993,104.05,151.91
294,179.18,113.77
422,136.54,99.02
486,126.9,181.42
3493,110.65,151.91
279,196.27,46.21
390,130.39,37.7
417,200.0,117.84
534,185.94,46.58
528,105.58,150.39
546,211.56,75.99
813,154.24,70.97
832,137.05,179.38
905,68.99,85.7
1076,77.93,119.01
1204,133.88,135.52
1266,127.11,202.27
1237,119.43,188.56
1578,69.86,109.7
2020,127.91,184.47
3092,65.47,105.63
2806,127.91,195.66
2763,59.22,67.66
2976,64.71,125.17
3187,116.61,147.55
3091,191.07,122.95
3610,148.09,172.99
4328,104.4,94.39
4054,113.05,143.99
4129,112.54,146.53
3536,54.88,119.66
4082,114.07,150.09
2730,221.76,98.68
3351,94.8,107.74
4002,50.64,121.58
4186,150.12,158.23
2218,36.39,67.19
2514,110.01,151.62
2690,114.34,78.09
3834,88.28,84.33
2331,146.06,150.09
3788,104.59,100.76
1855,149.73,150.99
2497,155.45,141.72
2710,147.08,171.97
3815,53.27,117.67
3167,163.8,117.85
3457,179.37,103.95
3883,126.76,183.68
2658,94.93,101.52
3217,151.14,168.41
3876,206.28,90.24
2666,77.5,112.44
2800,84.14,86.54
3041,148.27,34.17
3631,117.71,125.63
3703,138.85,78.19
854,89.45,65.46
930,41.55,53.44
993,153.28,45.69
1119,42.59,104.78
1152,158.99,79.04
1340,196.62,44.19
590,155.11,32.32
699,116.1,149.08
929,116.72,191.41
1064,102.39,149.08
1188,132.76,64.94
2476,147.82,37.1
1355,114.46,185.54
1896,136.77,90.6
3011,147.02,153.21
3255,188.69,87.6
3660,101.82,123.35
3731,155.2,152.64
2697,101.82,26.48
3237,68.11,37.88
3592,70.39,112.44
1998,176.53,125.29
2228,185.01,104.63
2644,167.58,177.18
2804,103.75,168.91
3063,149.83,160.42
3632,114.53,100.02
3920,140.64,106.84
4194,174.7,151.93
1778,118.05,76.28
1894,145.05,81.95
1902,172.88,104.63
2099,143.4,47.42
2199,106.51,71.82
2531,178.57,79.75
3717,188.45,135.3
2521,171.66,106.45
2808,58.47,81.09
3277,200.89,95.91
3620,139.96,148.41
2877,153.47,159.82
3316,106.17,147.08
2485,144.38,181.04
1714,131.6,89.99
13,85.91,86.09
3254,139.04,49.61
160,106.78,151.33
242,56.44,114.94
275,127.4,95.53
324,112.24,154.96
522,84.87,161.98
239,183.01,117.58
306,19.35,81.94
364,111.02,178.01
380,117.89,185.85
688,174.08,58.1
781,168.05,40.91
1041,156.7,85.95
1235,112.24,131.92
1634,104.19,181.37
1059,126.69,189.17
1568,112.46,131.24
1840,95.26,172.55
2053,176.18,88.57
2206,122.16,157.55
2395,27.32,104.53
2006,98.89,162.85
2115,177.63,140.87
2217,174.7,130.1
3206,162.57,95.53
4157,190.62,129.22
2751,119.12,187.14
3578,115.27,84.01
4463,122.54,72.49
2133,119.28,160.85
2655,196.87,129.64
3297,107.15,169.95
2727,129.19,130.17
3198,114.43,151.76
3971,115.04,102.64
3383,155.67,165.1
3760,128.8,180.9
2844,116.91,141.31
2905,178.08,84.31
2981,101.66,111.45
4205,163.45,67.39
2846,151.42,170.56
3270,112.61,151.76
3846,155.21,105.29
3958,126.78,146.02
115,98.14,81.42
129,104.12,163.89
213,177.41,86.06
3111,151.62,154.35
431,128.33,176.73
695,160.38,159.5
51,99.27,170.56
151,93.53,152.65
886,182.96,118.4
974,127.84,106.52
1147,108.88,163.53
251,162.42,124.45
521,100.08,161.69
1315,76.23,142.05
1414,108.37,163.28
1454,151.48,103.55
1527,173.45,69.5
1647,178.11,125.07
